LABEL_Ranna,LABEL_Nada,LABEL_Ziyad ,LABEL_Fidan,LABEL_Mahmood,AD_TEXT
positive,Positive,Positive,Positive,Positive,"What happened in Manchester is a tragedy beyond description that filled our hearts with inconsolable grief of pain and loss. It makes everything worse that the spirit of hatred is again aimed on all Muslims who in fact have nothing to do with disgusting radicals who organize such gruesome acts. The whole Muslim community condemns terror! Islam would remain the religion of peace no matter how hard those terrorists try to promote the opposite image! These people hurt Islam and the best way we can protect it is the art of compassion and love towards all people suffering at the hands of radicals! Pray for the victims, stay strong and heal this world!"
negative,Negative,Negative,Negative,Negative,"The Daily Beast reported that a black veteran, Elliot Williams, 37, encountered a painful death in jail cell without help from jail officials as they watched hi Oklahoma Cops Left Black Army Veteran To Die In Jail Cell Black Matters Black Matters"
negative,Positive,Positive,Negative,Negative,"I believe Ron Paul's position on our foreign military policy is absolutely right. After all, it was Trump who promised to put America First and promised to end Obama's policy of wasting budget money on military operations overseas. ""We're not going into Syria"", Trump said it to calm down those who got really concerned about a possibility of America getting involved into another war. really want to trust these words, but unfortunately many high-ranked politicians want to force Trump to pull America into another war. Here's what Ron Paul thinks about it: ""By the end of this month, Defense Secretary James Mattis and National Security Advisor HR McMaster will deliver to President Trump their plans for military escalations in Afghanistan, Iraq, and Syria. President Trump would be wise to rip the plans up and send his national security team back to the drawing board â€” or replace them. There is no way another ""surge"" in Afghanistan and Iraq (plus a new one in Syria) puts America first. There is no way doing the same thing over again will succeed any better than it did the last time."" Syria will be just another oil war; Iraq cost our country 4,500 soldier lives, and why the hell are we still in Afghanistan? We've started the whole Afghanistan thing to beat the Soviets, and no there's no Soviet Union on the world map, and all the communists left on this planet are only Chinese and Californian students."
positive,Positive,Positive,Positive,Neutral,Lil bit about the history of Gay Rights... Protestor at Weinstein Hall demonstration for the rights of gay people on campus. NY 1970.
neutral,neutral,neutral,Neutral,Negative,Word!
negative,Negative,negative,Negative,Negative,"Our politicians should never forget that. We've been watching our military commandership wasting lives of American soldiers for too long, let's hope it will end now when Trump is in charge. A new Marine Corps artillery unit was sent to assist Syrian opposition in Raqqa, according to Army Maj. Josh T. Jacques, a spokesman for U.S. Central Command. The artillery unit recently replaced about 400 Marines from the 11th Marine Expeditionary Unit, which provided artillery support to Kurdish and Syrian Arab forces expected to launch an offensive against Raqqa. We must deal with ISIS and end the terrorist threat once and for all. Unfortunately that's hardly possible because of the corruption in the Government. The Swamp in DC is still not drained from people like Senator McCain, and that's why our troops not only focus on defeating terrorism, but also getting involved into another regime change venture and possibly another oil war. We're fighting radical Islamists, but we're also siding with Syrian opposition, the very same radical Islamists, and there's absolutely no guarantee that these rebels won't replace ISIS when it's gone. There's only one chance to avoid another Iraq: Trump and the American nation must defeat globalist politicians and the Establishment. All we can do now is to pray for all American soldiers to return back home alive and safe."
negative,Negative,negative,Negative,Negative,"In a recent interview, Barack Obama said that not bombing Syria ""required the most political courage"". He said that sending troops to Syria was a very difficult decision, but not bombing Syria was even harder to make. Obama was hated for not taking actions, but it's better for being hated for not killing innocent people that for starting a useless war. Though it was tough, Obama did a great job keeping away from the war that would take millions from the US budget and get innocent people killed. Unfortunately, the recent government didn't think twice, before they started bombing Syria. They will cut the support of Black families in the US to kill innocent kids in Syria. How did we come to this?!"
negative,Negative,negative,Negative,Negative,Positive young black men serving this country will not be on any news outlet. Thar s why we decided to post it here.
positive,Positive,positive,Positive,Neutral,Patriotism is looking out for yourself by looking out for your country - Calvin Coolidge. Being Patriotic
positive,Negative,Positive,Positive,Neutral,"Have a good day, kings, queens, Black Gods and Goddess!"
positive,Positive,Positive,Positive,Negative,Stop police brutality! Join our meeting on 21 st April! April 21 Student Day of Action to #StopPoliceTerror
negative,Negative,Negative,Negative,Neutral,"Homophobic nurse tries to discourage birth mom from allowing gay couple to adopt child While the birth mother was resting with the baby, Andy and his partner took a break from the hospital to get some food. When they returned, they had a flurry of phone messages from the mother, crying and urging them to get back soon. A nurse had been questioning her about her decision to let a gay couple adopt her baby. ""Aren't you afraid those boys are gonna hurt that baby? Aren't you afraid that he's not gonna grow up and be normal?"" asked the nurse. Excuse me who the hell is she?! This bigot is forcing her views onto the mother, because she doesn't think the baby would grow up ""normal""? A mother who's making the difficult decision to place her son up for adoption, and a wonderful couple who wants to raise that child. What the hell right does the nurse have to try to stop that? I hope they fire her. I'm happy for the Gay couple on becoming parents!"
positive,Positive,Positive,Positive,Positive,"Alek Wek is now a hero for many of us. Supermodel decided not to go with the crowd that set the European standards of beauty. Despite the fact that all of the fashion models were obliged to wear blond wigs, she did something that was against the norm- she took her wig off and threw it in the crowd. #YouGoGirl"
positive,Positive,Positive,Positive,Positive,It's not about wanting to be someone else. It's about knowing who you are and comfort in your skin.
negative,Negative,Positive,Negative,Negative,"Black Community! We finally made a website! News about black racial and social issues. Get breaking news and analysis on the life of African American community in the US. Black Matters Chicago IPRA Finally Gets Dashcam Video Of Darius Pinex Shooting It took over five years for the IPRA to get the key evidence in the fatal police shooting of a black Chicago man committed in 2011. Orlando Nightclub Massacre And The Race Factor Orlando tragedy shed light on how hate and terrorism can destroy innocent lives within a matter of seconds. Pepper-Sprayed Victim Donates $100K Settlement To Social Justice A Seattle high school history teacher Jesse Hagopian, pepper- sprayed by police, says he'll donate the $100K settlement to help movement for justice. NYPD Cop Pulls A Gun On Black Cyclist In Fender-Bender A 21-year-old black cyclist plans to sue a white NYPD police officer for threatening his life by pointing a gun at him during a fender-bender. Black Matters"
negative,Positive,Positive,Negative,Neutral,Haters gonna hate regardless!
neutral,neutral,neutral,Neutral,Neutral,Vintage 1970 photograph of Chicana Brown Berets at a demonstration in East Los Angeles. from LA RAZA magazine. vol. 1 no. 4. Photo credit: Raul Ruiz.
positive,Negative,Positive,Positive,Negative,"Real Mexican-American pride. Respect! FYI: The three largest Hispanic groups in the United States are the Mexican- Americans, Puerto Ricans and Cubans."
neutral,Negative,positive,Neutral,Negative,What is your type and why?
neutral,Negative,Negative,Neutral,Negative,Make America Aztlan again!
negative,Negative,Negative,Negative,Negative,"Because They Lack Crucial Training, These Cops Severely Beat a Blind Autistic Teen Unconscious During the incident, Abrams, 17, suffered two seizures after police used force against him at the Green Line's Lexington Parkway Station. The teen suffers from Asperger's syndrome, which causes him to strongly dislike being touched or having people in his person space, and is considered legally blind, wearing extremely magnified glasses. Officers thought the non-compliance of Abrams was reason enough to justify forcibly taking him down, which resulted in him being battered and left unconscious. Abrams non-compliance wasn't done out of malice, but out of not really understanding the situation, and believing he hadn't done anything wrong. Abrams' autism makes it extremely difficult for him to interpret the intentions or feelings of others, according to his mother. Police released the teen to the custody of his mother rather than take him to the juvenile detention facility. Police are trained to think like the military in combat, which means they prioritize their own safety and the safety of fellow officers over everything else, including that of the citizens they allegedly ""protect and serve."""
positive,Positive,Positive,Positive,Negative,"Irma Gonzalez was one of six women inducted into the San Diego County Women's Hall of Fame earlier this month. This is a huge step for a latino woman in the US. She says: ""Diversity on the bench is so important because the people that come to court come from all different walks of life, different ethnic backgrounds, different religious backgrounds."" However, if it's a sign of diversity, this is a very weak sign. Just think, we are indigenous inhabitants of this land and we were cut off all privileges since gabachos came and stole our land. So, it took almost 500 years for our woman to reach a prestigious position in the government that is not really caring about us! Whether there are latinos or not, authorities will continue to deport us from our indigenous land!"
positive,Positive,Positive,Positive,Neutral,"Defend southern heritage! Follow instagram south united and get last news, history articles and even more! Click Learn more! South United Yoyoyoyoyo"
neutral,Positive,Positive,Neutral,Neutral,"Photo by Isadora Kosofsky @isadorakosofsky, part of an ongoing series documenting bonding visits between children and their incarcerated parents at eight men's and women's prisons in Florida."
negative,Positive,Positive,Negative,Neutral,NO CRIME SHOULD BE HIDDEN! Visit our website http://DoNotShoot.Us for exclusive updates and breaking news!
positive,Negative,Positive,Positive,Neutral,The dopest black woman ever. Miss her.
positive,neutral,neutral,Neutral,Neutral,"This week Eric welcomes back totheshow author and filmmakerJohn Pilger to discuss the specter haunting Europe,Asia,Africa,and Latin America: Hillary Clinton,Ericand John discuss how Hillar..."
